wavelen,Nr,Ni
6.47E+01,1.7371,4.90E-01
6.56E+01,1.7686,4.87E-01
6.66E+01,1.8034,4.77E-01
6.76E+01,1.833,4.51E-01
6.90E+01,1.8568,4.19E-01
7.05E+01,1.8741,3.88E-01
7.30E+01,1.8911,3.43E-01
7.50E+01,1.8992,3.12E-01
7.63E+01,1.9043,2.94E-01
8.00E+01,1.9033,2.35E-01
8.30E+01,1.8874,1.98E-01
8.50E+01,1.875,1.87E-01
8.68E+01,1.867,1.77E-01
9.08E+01,1.8536,1.62E-01
9.52E+01,1.8425,1.49E-01
1.00E+02,1.8323,1.39E-01
1.20E+02,1.8191,1.20E-01
1.50E+02,1.8227,9.62E-02
1.67E+02,1.8296,8.30E-02
